shelter_name,region,count,long_term,adopted,species,image_url,care_reg_no,careAddr,lat,lon
24시아이동물메디컬,경기도,46,46.0,17.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405301305111.jpg,,경기도 부천시 오정구 소사로 779 (원종동) 201호,37.52564337,126.8045559
GD동물병원,서울특별시,6,6.0,1.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/20240531190580.jpg,311324000000000.0,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,37.54824448,127.1731057
MK동물병원,,0,,,,,331373000000000.0,,0.0,0.0
가나동물병원,경기도,22,22.0,7.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405301105693.jpg,,경기도 부천시 소사구 경인로 72 (송내동) ,37.48354504,126.7631804
가정견훈련소,충청북도,11,11.0,6.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405271605942.jpg,343557000000000.0,충청북도 증평군 도안면 입장길 239  ,36.8469669,127.6082351
가정동물병원,인천광역시,68,68.0,22.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405301505947.jpg,328356000000000.0,인천광역시 서구 가정로 346 (가정동) ,37.51566555,126.6730219
가평군유기동물보호소,경기도,7,7.0,2.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/08/20240823190812.jpg,341416000000000.0,"경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)",37.84600448,127.4986856
강남동물병원,울산광역시,49,49.0,7.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405181305525.jpg,331370000000000.0,울산광역시 남구 돋질로 232 (달동) 1층,35.54260399,129.3304745
강동구청 반려동물팀 ,,0,,,,,311324000000000.0,,0.0,0.0
강동리본센터(reborn),서울특별시,9,9.0,4.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405281105762.jpg,311324000000000.0,서울특별시 강동구 양재대로81길 73 (성내동) ,37.52386736,127.1302661
강릉시 동물사랑센터,강원도,48,48.0,26.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/08/202408211208882.jpg,342420000000000.0,강원도 강릉시 성산면 내맬길 172  ,37.69891761,128.8292654
강진군 유기견 보호소,전라남도,8,8.0,1.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405301605510.jpg,346492000000000.0,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소) ",34.62481146,126.7773923
강현림동물병원,서울특별시,35,35.0,7.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406011406232.jpg,,서울특별시 양천구 등촌로 160 (목동) 1층,37.54403832,126.862421
거제시유기동물보호소,경상남도,43,43.0,14.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405301705700.jpg,348537000000000.0,경상남도 거제시 사등면 두동로1길 109  거제시유기동물보호소,34.88376961,128.5736717
거창유기동물보호센터,경상남도,30,30.0,3.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405312205850.jpeg,348547000000000.0,경상남도 거창군 남상면 수남로 1934-12  ,35.65166363,127.9129194
경동동물병원,인천광역시,26,26.0,10.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405282105351.jpg,328350000000000.0,인천광역시 중구 개항로 68 (경동) ,37.47195561,126.6299446
경산시유기동물보호소,경상북도,82,82.0,24.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405301205967.jpg,347513000000000.0,경상북도 경산시 용성면 사양지길 95 (용성면) ,35.77788149,128.8855551
경주동물사랑보호센터,경상북도,119,119.0,31.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311505915.jpg,,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,35.89296107,129.2384262
고령군 유기견 보호소,경상북도,16,16.0,4.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405291505906.jpg,347520000000000.0,경상북도 고령군 운수면 하법길 37 (운수면) ,35.77192765,128.3003621
고성군유기동물보호소,경상남도,32,32.0,22.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405231705180.jpg,348542000000000.0,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,34.99601449,128.3257672
고양시동물보호센터,경기도,83,83.0,13.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311505947.jpg,341394000000000.0,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",37.6497779,126.870086
고흥군임시보호센터,전라남도,56,56.0,2.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/20240531110514.jpeg,346488000000000.0,"전라남도 고흥군 포두면 우주로 607 (포두면, 소매점) ",34.57054579,127.3410101
곡성군동물보호소,전라남도,1,1.0,0.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/04/202405011705288[1].jpg,346486000000000.0,전라남도 곡성군 곡성읍 군청로 50  보호소 주소 : 전남 곡성군 곡성읍 구원리 888,35.28215631,127.2926554
공주시 동물보호센터,충청남도,21,21.0,9.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405301605332.jpg,344450000000000.0,충청남도 공주시 우성면 내산목천길 52-15  ,36.49230245,127.1001077
광명반함센터,경기도,2,2.0,2.0,72.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406081806588.jpg,341390000000000.0,경기도 광명시 오리로854번길 10 (철산동) 지하1층,37.47436903,126.8684667
광양시 임시보호소,전라남도,37,37.0,12.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311805689.jpg,346484000000000.0,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,34.98789219,127.5765199
광주TNR동물병원송정,경기도,50,50.0,16.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405292005502.jpg,341554000000000.0,경기도 광주시 경안천로 142 (송정동) 광주TNR동물병원,37.41734393,127.2750274
광주TNR동물병원초월,경기도,48,48.0,19.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/20240531190530.jpg,341554000000000.0,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,37.41589578,127.2761643
광주동물보호센터,광주광역시,316,316.0,48.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311505201.jpg,329363000000000.0,광주광역시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,35.22270912,126.8821405
광주첨단YB동물병원,광주광역시,2,2.0,1.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405281105803.jpg,329362000000000.0,광주광역시 북구 첨단연신로 100 (신용동) 대성베르힐 A동 206-207호,35.20685626,126.8648096
괴산증평동물보호센터,충청북도,58,58.0,28.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405280905916.jpg,343446000000000.0,충청북도 증평군 도안면 입장길 239 (도안면) ,36.8469669,127.6082351
구례군동물보호센터,전라남도,2,2.0,0.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/04/20240513130556.jpg,346487000000000.0,전라남도 구례군 용방면 용방로 64-11  ,35.22241499,127.4587825
구리시 반려돌봄센터,경기도,6,6.0,5.0,67.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405231805198.jpg,341398000000000.0,경기도 구리시 동구릉로136번길 57 (인창동) 2층,37.61313887,127.1409183
구미시 동물보호센터,경상북도,45,45.0,7.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405311105201.jpg,347508000000000.0,경상북도 구미시 옥성면 선상동로 1358  애니멀 케어 센터,36.34009717,128.2787559
군산유기동물보호센터,전라북도,108,108.0,38.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406011006788.jpg,345467000000000.0,전라북도 군산시 대야면 보덕안정길 108-20  ,35.96081513,126.8163081
군위종합동물병원,대구광역시,39,39.0,6.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406061706177.jpg,327514000000000.0,대구광역시 군위군 군위읍 군청로 49-18  1층,36.2285569,128.5675239
금강동물병원,대구광역시,10,10.0,4.0,200.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/04/202405161705287.jpg,327346000000000.0,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원,35.87165133,128.635875
금강유역환경청,대전광역시,1,1.0,1.0,128.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/04/202405141705845.jpg,,대전광역시 유성구 대학로 417 (구성동) ,36.37303865,127.3742038
금왕동물병원,충청북도,66,66.0,12.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202405292105246.jpg,343447000000000.0,충청북도 음성군 금왕읍 대금로 1498 (금왕읍) 금왕동물병원,36.98920959,127.5984833
금일동물보호센터,충청남도,30,30.0,16.0,114.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406030906378.jpg,,충청남도 홍성군 홍동면 충절로 625 (홍동면) ,36.57890506,126.7054976
